City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,abepura,-2.6333,140.5833,26.45,89,20,0.51,ID,1712014207
146,gadzhiyevo,69.2551,33.3362,-7.3,82,99,7.33,RU,1712014207
147,laurel,39.0993,-76.8483,13.19,89,100,3.09,US,1712014135
148,tosontsengel,48.7567,98.2839,-12.32,91,28,0.72,MN,1712014208
149,ushuaia,-54.8,-68.3,9.81,53,40,6.17,AR,1712014098
150,erenhot,43.6475,111.9767,3.99,63,89,2.6,CN,1712014209
151,vangaindrano,-23.35,47.6,22.63,92,97,2.88,MG,1712014209
152,fomboni,-12.28,43.7425,27.5,80,89,0.45,KM,1712014209
153,touros,-5.1989,-35.4608,27.17,80,100,3.74,BR,1712014210
154,susuman,62.7833,148.1667,-15.57,86,75,1.34,RU,1712014210
155,salinopolis,-0.6136,-47.3561,26.79,88,96,2.92,BR,1712014210
156,cill airne,52.05,-9.5167,7.48,89,91,1.26,IE,1712014211
157,point vernon,-25.25,152.8167,26.73,79,0,3.58,AU,1712014211
158,puerto deseado,-47.7503,-65.8938,12.07,62,3,8.59,AR,1712014211
159,koz'modem'yansk,56.3367,46.5711,7.11,88,100,4.9,RU,1712014212
160,colonia,50.9333,6.95,10.49,84,0,4.12,DE,1712014186
161,vadso,70.0744,29.7487,-6.51,73,46,9.77,NO,1712014212
162,badger,64.8,-147.5333,5.93,35,0,2.57,US,1712014213
163,tual,-5.6667,132.75,28.59,75,100,2.39,ID,1712014213
164,taraz,42.9,71.3667,2.23,80,79,4.0,KZ,1712014214
165,minas de marcona,-15.2119,-75.1103,18.13,77,88,4.61,PE,1712014214
166,vila franca do campo,37.7167,-25.4333,16.23,83,41,8.27,PT,1712014214
167,invercargill,-46.4,168.35,16.12,71,7,1.34,NZ,1712014215
168,kaoma,-14.7833,24.8,18.59,80,92,0.42,ZM,1712014215
169,castillos,-34.1667,-53.8333,15.15,82,100,4.53,UY,1712014216
170,egilsstadir,65.2653,-14.3948,-7.05,86,75,4.12,IS,1712014216
171,malvan,16.0667,73.4667,25.45,74,21,3.19,IN,1712014216
172,coahuayana de hidalgo,18.7,-103.6583,27.13,60,71,2.71,MX,1712014217
173,bushehr,28.9684,50.8385,19.05,82,0,0.0,IR,1712014217
174,uturoa,-16.7333,-151.4333,28.3,75,96,7.97,PF,1712014217
175,vallenar,-28.5708,-70.7581,22.55,51,0,1.08,CL,1712014218
176,kwang binh,17.4833,106.6,27.11,60,0,2.68,VN,1712014218
177,corry,41.9203,-79.6403,11.56,74,50,4.72,US,1712014218
178,bahia honda,22.9036,-83.1592,24.96,76,21,3.5,CU,1712014219
179,lompoc,34.6391,-120.4579,21.55,64,0,6.69,US,1712014220
180,natal,-5.795,-35.2094,27.36,83,40,3.09,BR,1712013388
181,bowen,-20.0167,148.2333,27.13,70,93,4.88,AU,1712014220
182,grand falls-windsor,48.9332,-55.6649,2.5,86,100,0.45,CA,1712014221
183,mariental,-24.6333,17.9667,24.2,50,39,3.12,NA,1712014221
184,fresnillo,23.1667,-102.8833,22.75,26,44,13.74,MX,1712013970
185,ontario,34.0633,-117.6509,22.42,45,40,7.72,US,1712014222
186,bandarbeyla,9.4942,50.8122,27.48,76,22,3.76,SO,1712014222
187,makushino,55.2103,67.2442,-1.13,96,78,4.07,RU,1712014223
188,hargeysa,9.56,44.065,24.04,57,68,4.01,SO,1712014223
189,nadym,65.5333,72.5167,-14.36,97,66,4.45,RU,1712014224
190,okha,53.5739,142.9478,-1.36,82,100,4.69,RU,1712014224
191,mersa matruh,31.3525,27.2453,16.11,94,0,1.54,EG,1712014224
192,zhumysker,49.3333,49.4,10.2,56,98,4.27,KZ,1712014225
193,ponta delgada,37.7333,-25.6667,16.4,77,20,11.32,PT,1712014225
194,klaksvik,62.2266,-6.589,5.51,76,100,12.89,FO,1712014225
195,butte,39.6499,-121.5677,23.32,26,0,3.09,US,1712014226
196,san patricio,28.017,-97.5169,29.74,70,100,6.78,US,1712014226
197,paulden,34.8856,-112.4682,11.06,58,97,0.45,US,1712014226
198,tangalle,6.024,80.7911,25.06,90,90,1.76,LK,1712014227
199,tsiombe,-25.3,45.4833,21.92,81,8,7.92,MG,1712014227
200,walvis bay,-22.9575,14.5053,15.05,94,29,2.57,NA,1712014227
201,suez,29.9737,32.5263,20.59,60,41,6.62,EG,1712014228
202,carnarvon,-24.8667,113.6333,28.96,41,22,8.09,AU,1712014228
203,salalah,17.0151,54.0924,26.05,53,0,1.54,OM,1712014228
204,dudinka,69.4058,86.1778,-15.18,90,100,6.26,RU,1712014229
205,katsuura,35.1333,140.3,14.2,63,8,2.22,JP,1712014229
206,pacific grove,36.6177,-121.9166,20.45,72,0,4.12,US,1712014228
207,as sulayyil,20.4607,45.5779,20.14,57,98,1.94,SA,1712014230
208,kupang,-10.1667,123.5833,28.32,100,75,1.03,ID,1712014037
209,inari,68.906,27.0288,-14.89,100,37,1.72,FI,1712014102
210,aktau,43.65,51.2,6.32,47,1,3.55,KZ,1712014231
211,cockburn town,21.4612,-71.1419,24.65,67,1,8.48,TC,1712014094
212,jasrasar,28.298,74.8093,21.47,22,84,1.77,IN,1712014231
213,chakari,-18.0629,29.8925,20.36,52,96,3.32,ZW,1712014232
214,alpine,32.835,-116.7664,17.75,61,40,5.14,US,1712014131
215,penha,-26.7694,-48.6458,26.05,88,40,2.57,BR,1712013966
216,dhalie,13.6957,44.7314,20.62,62,94,0.59,YE,1712014233
217,manokwari,-0.8667,134.0833,27.2,80,100,1.12,ID,1712014233
218,jamestown,42.097,-79.2353,11.4,57,0,5.14,US,1712014005
219,san andres,12.5847,-81.7006,29.01,70,20,4.12,CO,1712014234
220,panama city beach,30.1766,-85.8055,23.49,84,40,4.63,US,1712014234
221,villa regina,-39.1,-67.0667,17.21,15,0,0.69,AR,1712014234
222,whistler,50.1164,-122.9695,11.57,54,100,2.57,CA,1712014235
223,mongoumba,3.6415,18.5936,23.63,83,84,1.63,CF,1712014235
224,vilyuchinsk,52.9306,158.4028,2.15,81,60,4.88,RU,1712014235
225,smara,26.7384,-11.6719,17.79,68,0,4.28,EH,1712014236
226,guerrero negro,27.9769,-114.0611,17.78,57,6,6.65,MX,1712014236
227,taksimo,56.3444,114.8794,-3.24,85,100,1.52,RU,1712014236
228,christchurch,-43.5333,172.6333,16.34,69,100,2.57,NZ,1712014153
229,labytnangi,66.6572,66.4183,-16.67,92,89,1.48,RU,1712014111
230,idiroko,6.6333,2.7333,29.93,89,100,1.93,NG,1712014238
231,al burayqah,30.4062,19.5739,21.6,51,0,3.4,LY,1712014238
232,mandla,22.6,80.3833,24.26,22,2,0.75,IN,1712014239
233,stephenville,32.2207,-98.2023,25.52,69,0,4.12,US,1712014068
234,novodvinsk,64.4165,40.8122,2.1,99,100,2.31,RU,1712014239
235,la'ie,21.6477,-157.9253,28.98,83,62,3.58,US,1712014240
236,hinton,53.4001,-117.5857,9.94,66,46,1.39,CA,1712014017
237,borogontsy,62.6683,131.1683,-12.43,97,100,1.76,RU,1712014240
238,ghat,24.9647,10.1728,25.16,10,1,1.75,LY,1712014241
239,plastun,44.7561,136.2939,3.87,45,0,5.29,RU,1712014241
240,porto belo,-27.1578,-48.5531,26.09,88,25,3.2,BR,1712014083
241,puerto colombia,10.9878,-74.9547,28.05,79,7,13.04,CO,1712014242
242,kodiak,57.79,-152.4072,1.73,55,100,8.23,US,1712014242
243,port macquarie,-31.4333,152.9167,25.5,70,33,3.62,AU,1712013447
